block_timestamp,block_number,transaction_hash,amount0,amount1,pair,from_address,token0,token1
2021-03-10 05:37:31 UTC,12008930,0xcfd37a50cc0ce486835a7b4be6262576231f8e9bd3ac9f430d29ec89b818813d,10342483886429925401899,124825810730364704,0x0f9768ee0914c48f65234cf10e8aeb6028c8426c,0xb4ee72588b1bfb467d6693b63970cd4346d4eff5,0x25e1474170c4c0aa64fa98123bdc8db49d7802fa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-04-26 16:20:36 UTC,12317024,0xe17ae58143d81f0c5646629cde155bf6167a033053a97ccdf0da24c24176fc46,2449694183529820883915,499681436366714816,0x1037fa1f40b69c9266c4aeb2abcedc7553614b4c,0x83334ef0c6f6396413c508a7762741e9fd8b20e9,0x038a68ff68c393373ec894015816e33ad41bd564,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-04-12 19:07:06 UTC,12227029,0x90ca5a77338ad20129a651540c71ac042d9793dcce59dec89a6b6ce30fde4749,7233747212584252204825,1501400643160145741,0x1037fa1f40b69c9266c4aeb2abcedc7553614b4c,0xeb79561a4ccd197941b40fc6625ffe3b47920f08,0x038a68ff68c393373ec894015816e33ad41bd564,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-04-16 23:34:25 UTC,12254132,0x4e72862f24a474732bc3347b3ae0abd03fa969aea260ad6ac38ab2f39e021d31,4248945538066225102,898649284286058,0x1037fa1f40b69c9266c4aeb2abcedc7553614b4c,0x3f7eeb1bf4ce72e40be48165954c2b6a8365abd0,0x038a68ff68c393373ec894015816e33ad41bd564,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-04-16 08:59:26 UTC,12250107,0x5c9735bf42f0aa707749c9ab0cb745c6aba5f714814b268b8767b6aa81181cb4,6702088646243601132198,1401116399857003347,0x1037fa1f40b69c9266c4aeb2abcedc7553614b4c,0xeb79561a4ccd197941b40fc6625ffe3b47920f08,0x038a68ff68c393373ec894015816e33ad41bd564,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-03-13 21:10:28 UTC,12032563,0x5bc53bc973ff1943b25f02ff456f5e932364081c1c7d0c75228fffab2b880640,1040369547619615230098,509585123516746625,0x11b1f53204d03e5529f09eb3091939e4fd8c9cf3,0x0d24f692c05036602076b3f51242b5a34c55ee38,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-03-02 21:52:50 UTC,11961388,0xa36e95388d28ae046d1818945c9f701774079f82ab4aeb6d9a5e2ee313c586da,620257201737445896820,99861879968784281,0x1273ad5d8f3596a7a39efdb5a4b8f82e8f003fc3,0x1ab83223ee734ea5151e345841c4cfdd34c67d3c,0x584bc13c7d411c00c01a62e8019472de68768430,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-03-05 21:21:20 UTC,11980747,0x0f4dbbb30465ba09cca73eb1acca826652aec69f197da7a6853b3bc6ede2190b,8931784581149575498,2998778948126837509,0x146d3401b6a41122bd318ba676a01c44cb0795e2,0x9441223797c55f5df7bfa4d60f35a84eecc7e535,0x1cbb83ebcd552d5ebf8131ef8c9cd9d9bab342bc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-03-05 22:03:08 UTC,11980939,0x20749c1f5083f580709a2a9eabc169825c935d2acd17ca8a90a58cb5a477a04f,462887983010544491,148909548687568046,0x146d3401b6a41122bd318ba676a01c44cb0795e2,0x1ab83223ee734ea5151e345841c4cfdd34c67d3c,0x1cbb83ebcd552d5ebf8131ef8c9cd9d9bab342bc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-03-11 20:31:22 UTC,12019431,0xeb89775a9864e421b32b099fe381b74cebcec9eaaa9505cb5ac2bc30de0c6435,1746586731385173998,249655332903223074,0x146d3401b6a41122bd318ba676a01c44cb0795e2,0x97af0f60c1894bf63b440300ddf6b18102f22341,0x1cbb83ebcd552d5ebf8131ef8c9cd9d9bab342bc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-03-06 07:29:49 UTC,11983490,0xbf8a27e90bfe3f7c5ab5b5d9b9d588fead9b3a69b20c26a6084f75416bcd998a,1222506409273716483,249653335739205429,0x146d3401b6a41122bd318ba676a01c44cb0795e2,0xc60debaa978d0c215c37859f8b59b07910afe807,0x1cbb83ebcd552d5ebf8131ef8c9cd9d9bab342bc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-04-27 18:57:08 UTC,12324188,0x24380730cf39e937428d5a71b06ebed83c3f2ecd49181783e354d80a7e58b96f,1863510385103233344723,349050218220288699,0x1ffc57cada109985ad896a69fbcebd565db4290e,0x83334ef0c6f6396413c508a7762741e9fd8b20e9,0x4e15361fd6b4bb609fa63c81a2be19d873717870,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-04-28 21:31:07 UTC,12331370,0xb83c2f9acc2af2765a9f7bbf0600cbf17b2bd89a122998f3ace38861b74f12f9,4341857710977904139620,900576962464477606,0x1ffc57cada109985ad896a69fbcebd565db4290e,0xd041c41ea1bf0f006adbb6d2c9ef9d425de5ead7,0x4e15361fd6b4bb609fa63c81a2be19d873717870,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-05-02 01:18:26 UTC,12351780,0x9e82ddce06614bd320a7ce77597ed5e28e28f6e66bf714a1086870d1ce8f1949,36752262348043137555,9985115401700467,0x1ffc57cada109985ad896a69fbcebd565db4290e,0xca56db15d8396238088700d738a8b0fe318e0ce6,0x4e15361fd6b4bb609fa63c81a2be19d873717870,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-04-30 11:30:37 UTC,12341570,0xa781fa93217bed87ff15651e44b213f467ba4c7bae5893e9c92bda365dfe9e87,1248951987250207410831,338903416058137115,0x1ffc57cada109985ad896a69fbcebd565db4290e,0x4d569abc3d7ab699d65832ac1a3b376592b33de2,0x4e15361fd6b4bb609fa63c81a2be19d873717870,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-04-30 13:00:31 UTC,12341957,0x3eb472cfec1c62eb1a85c871e5397b6cbb95fa33cb8e91b98e2110a6dab05ac5,1865577671778147443428,499739882347805777,0x1ffc57cada109985ad896a69fbcebd565db4290e,0xae74d4af5310170f8b2c0227b0c8ca70c8e2c78f,0x4e15361fd6b4bb609fa63c81a2be19d873717870,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-05-01 22:59:18 UTC,12351180,0x117beb54f470ca3aadd3fc0e63af49d4352945e4698316171d52d1d4d719b658,854053296687060997709,234715117020343376,0x1ffc57cada109985ad896a69fbcebd565db4290e,0x83334ef0c6f6396413c508a7762741e9fd8b20e9,0x4e15361fd6b4bb609fa63c81a2be19d873717870,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
